"","variety","text_ID","verb","mode","genre","Source.Ole","Source.Jenny","subject_3","source.ct","spoken.ct"
"387","GB","GB-W2E-010","must","written","ed","SUB","OBJ","third",0,-1
"388","GB","GB-W2B-038","must","written","PTec","OBJ","OBJ","third",-1,-1
"390","GB","GB-W2B-035","must","written","PTec","SUB","OBJ","third",0,-1
"392","GB","GB-S2B-007","must","spoken","bnew","SUB","SUB","first",1,1
"393","GB","GB-W2B-029","must","written","PNat","OBJ","OBJ","third",-1,-1
"394","GB","GB-W2B-029","must","written","PNat","OBJ","OBJ","third",-1,-1
"395","GB","GB-W2F-018","must","written","nov","SUB","SUB","first",1,-1
"397","GB","GB-W2E-007","must","written","ed","SUB","SUB","third",1,-1
"398","GB","GB-S1B-027","must","spoken","bdis","SUB","SUB","second",1,1
"400","GB","GB-W2A-016","must","written","ASoc","X","OBJ","third",-0.5,-1
"401","GB","GB-S2B-012","must","spoken","bnew","SUB","SUB","first",1,1
"405","GB","GB-W2E-002","must","written","ed","SUB","SUB","third",1,-1
"406","GB","GB-S1B-049","must","spoken","bint","SUB","SUB","first",1,1
"407","GB","GB-W1B-004","must","written","sl","SUB","SUB","first",1,-1
"408","GB","GB-W2A-017","must","written","ASoc","SUB","SUB","third",1,-1
"411","GB","GB-W2C-008","must","written","rep","SUB","SUB","third",1,-1
"412","GB","GB-S2A-066","must","spoken","leg","SUB","SUB","first",1,1
"414","GB","GB-S2B-003","must","spoken","bnew","OBJ","SUB","third",0,1
"415","GB","GB-S1B-078","must","spoken","btran","SUB","SUB","first",1,1
"417","GB","GB-S2B-030","must","spoken","btal","SUB","SUB","first",1,1
"418","GB","GB-W1B-013","must","written","sl","OBJ","SUB","first",0,-1
"419","GB","GB-W1B-001","must","written","sl","OBJ","SUB","first",0,-1
"421","GB","GB-S2B-030","must","spoken","btal","SUB","SUB","first",1,1
"423","GB","GB-S1B-043","must","spoken","bint","OBJ","X","third",-0.5,1
"425","GB","GB-S1B-078","must","spoken","btran","SUB","SUB","first",1,1
"426","GB","GB-S2B-005","must","spoken","bnew","SUB","SUB","third",1,1
"427","GB","GB-W2E-004","must","written","ed","SUB","SUB","third",1,-1
"428","GB","GB-S2B-030","must","spoken","btal","SUB","SUB","third",1,1
"434","USA","USA-W2E-007","must","written","ed","OBJ","OBJ","third",-1,-1
"435","USA","USA-W2B-012","must","written","PSoc","SUB","SUB","first",1,-1
"436","USA","USA-W1B-007","must","written","sl","SUB","SUB","first",1,-1
"437","USA","USA-W2B-008","must","written","PHum","SUB","SUB","third",1,-1
"438","USA","USA-W2C-014","must","written","rep","OBJ","OBJ","third",-1,-1
"439","USA","USA-W2B-013","must","written","PSoc","SUB","SUB","first",1,-1
"440","USA","USA-W2B-028","must","written","PNat","SUB","SUB","third",1,-1
"445","USA","USA-W2C-018","must","written","rep","OBJ","OBJ","third",-1,-1
"446","USA","USA-W2B-020","must","written","PSoc","SUB","SUB","first",1,-1
"447","USA","USA-W2F-015","must","written","nov","OBJ","SUB","first",0,-1
"449","USA","USA-W2B-008","must","written","PHum","OBJ","X","third",-0.5,-1
"451","USA","USA-W2B-038","must","written","PTec","OBJ","SUB","third",0,-1
"453","USA","USA-W2E-009","must","written","ed","SUB","SUB","third",1,-1
"456","USA","USA-W2C-018","must","written","rep","OBJ","OBJ","third",-1,-1
"460","USA","USA-W1B-013","must","written","sl","OBJ","OBJ","third",-1,-1
"469","USA","USA-W2C-006","must","written","rep","OBJ","OBJ","third",-1,-1
"471","USA","USA-W2F-015","must","written","nov","OBJ","X","third",-0.5,-1
"473","USA","USA-W2B-008","must","written","PHum","OBJ","OBJ","third",-1,-1
"474","USA","USA-W1B-011","must","written","sl","OBJ","OBJ","third",-1,-1
"475","USA","USA-W2B-032","must","written","PTec","OBJ","OBJ","third",-1,-1
"480","USA","USA-W2E-001","must","written","ed","SUB","X","third",0.5,-1
"483","USA","USA-W1B-013","must","written","sl","OBJ","OBJ","third",-1,-1
"485","USA","USA-W1B-009","must","written","sl","OBJ","OBJ","third",-1,-1
"486","USA","USA-W2B-019","must","written","PSoc","OBJ","OBJ","third",-1,-1
"488","USA","USA-W2B-037","must","written","PTec","OBJ","OBJ","third",-1,-1
"489","USA","USA-W2A-012","must","written","ASoc","OBJ","OBJ","third",-1,-1
"491","USA","USA-W2B-025","must","written","PNat","OBJ","OBJ","third",-1,-1
"498","USA","USA-W2D-016","must","written","SkHo","OBJ","OBJ","third",-1,-1
"499","USA","USA-W2B-009","must","written","PHum","OBJ","SUB","third",0,-1
"501","USA","USA-W2A-016","must","written","ASoc","OBJ","SUB","third",0,-1
"502","USA","USA-W2B-038","must","written","PTec","OBJ","SUB","third",0,-1
"504","USA","USA-W2B-025","must","written","PNat","SUB","SUB","third",1,-1
